,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
267,267,2727100731.0,117,13,58.0,613,9.4,92.7,13,FirstHalf,Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,232278.0,23.1,95.3,,,,,,,,,,
313,313,2727111873.0,134,18,34.0,613,9.9,74.5,18,FirstHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
314,314,2727111933.0,135,18,36.0,613,9.9,74.5,18,FirstHalf,Pass,Successful,"['PassEndX', 'PassEndY', 'Length', 'Zone', 'StandingSave', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,232278.0,20.6,70.0,,,,,,,,,,
316,316,2727112191.0,137,18,40.0,613,12.0,89.3,18,FirstHalf,Pass,Unsuccessful,"['StandingSave', 'Length', 'Longball', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 120, 128, 36, 38, 216, 218]",True,232278.0,57.9,70.9,,,,,,,,,,
440,440,2727129409.0,181,25,47.0,613,10.6,58.3,25,FirstHalf,Save,Successful,"['OppositeRelatedEvent', 'OutfielderBlock', 'StandingSave', 'Zone']","[91, 58]",True,232278.0,,,,,,,,,,,,
441,441,2727129415.0,182,25,49.0,613,11.0,61.0,25,FirstHalf,CornerAwarded,Unsuccessful,"['MissLeft', 'Zone', 'OppositeRelatedEvent']",[122],False,232278.0,,,,,,,,,,,,
454,454,2727131711.0,191,26,56.0,613,61.0,73.2,26,FirstHalf,Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,69.6,67.6,,,,,,,,,,
457,457,2727132303.0,194,27,6.0,613,79.9,100.0,27,FirstHalf,Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'ThrowIn', 'Zone']","[91, 212, 35, 38, 217]",True,232278.0,78.2,87.2,,,,,,,,,,
484,484,2727136769.0,205,29,24.0,613,56.7,90.9,29,FirstHalf,Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 120, 29, 36, 38, 217, 218]",True,232278.0,67.0,77.6,,,,,,,,,,
488,488,2727137017.0,207,29,28.0,613,62.8,82.1,29,FirstHalf,Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,232278.0,,,,,,,,,,,,
490,490,2727137137.0,208,29,32.0,613,58.7,93.0,29,FirstHalf,Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,40.6,87.2,,,,,,,,,,
507,507,2727140943.0,221,31,17.0,613,35.6,93.6,31,FirstHalf,Pass,Successful,"['PassEndX', 'Length', 'Angle', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,232278.0,47.7,96.6,,,,,,,,,,
528,528,2727142185.0,230,31,52.0,613,29.4,89.4,31,FirstHalf,Tackle,Successful,"['Zone', 'Defensive', 'StandingSave', 'OppositeRelatedEvent']","[91, 143]",True,232278.0,,,,,,,,,,,,
529,529,2727142207.0,231,31,55.0,613,29.2,94.2,31,FirstHalf,Pass,Unsuccessful,"['Zone', 'PassEndX', 'StandingSave', 'OppositeRelatedEvent', 'Angle', 'Length', 'PassEndY', 'Offensive']","[91, 118, 120, 29, 36, 38, 215, 218]",True,232278.0,30.1,93.3,,,,,,,,,,
531,531,2727142543.0,233,32,6.0,613,34.2,100.0,32,FirstHalf,Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'ThrowIn', 'Zone', 'PassEndY']","[91, 212, 36, 38, 216]",True,232278.0,36.7,86.2,,,,,,,,,,
586,586,2727147843.0,247,34,42.0,613,39.5,97.1,34,FirstHalf,Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,33.5,94.1,,,,,,,,,,
671,671,2727159559.0,296,39,50.0,613,63.5,67.9,39,FirstHalf,Tackle,Successful,"['Defensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 143]",True,232278.0,,,,,,,,,,,,
675,675,2727159775.0,300,39,59.0,613,87.0,81.7,39,FirstHalf,Pass,Unsuccessful,"['Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Angle']","[91, 120, 29, 35, 38, 217, 218]",True,232278.0,84.4,71.2,,,,,,,,,,
680,680,2727160057.0,301,40,5.0,613,86.5,93.0,40,FirstHalf,BlockedPass,Successful,"['StandingSave', 'Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 60]",True,232278.0,,,,,,,,,,,,
711,711,2727162465.0,318,41,13.0,613,66.5,96.0,41,FirstHalf,Pass,Unsuccessful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 120, 29, 36, 38, 217, 218]",True,232278.0,82.1,69.4,,,,,,,,,,
736,736,2727165371.0,335,42,32.0,613,85.8,60.3,42,FirstHalf,SavedShot,Successful,"['GoalMouthY', 'Zone', 'GoalMouthZ', 'Blocked', 'BoxCentre', 'RightFoot', 'RegularPlay', 'BlockedY', 'FirstTouch', 'BlockedX', 'LowRight', 'OppositeRelatedEvent', 'StandingSave']","[91, 10, 1, 3, 11, 12]",True,232278.0,,,,,92.1,54.2,19.0,46.5,True,,,
769,769,2727168085.0,343,43,53.0,613,5.8,68.8,43,FirstHalf,Aerial,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[198, 200]",False,232278.0,,,,,,,,,,,,
771,771,2727168221.0,344,43,54.0,613,5.8,69.0,43,FirstHalf,BallTouch,Successful,"['Zone', 'OtherBodyPart']",[91],True,232278.0,,,,,,,,,,,,
772,772,2727168237.0,345,43,55.0,613,1.6,72.6,43,FirstHalf,CornerAwarded,Unsuccessful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,232278.0,,,,,,,,,,,,
831,831,2727198633.0,380,45,57.0,613,80.3,89.6,47,SecondHalf,Pass,Successful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,80.5,74.2,,,,,,,,,,
868,868,2727200391.0,390,47,18.0,613,38.0,78.4,49,SecondHalf,Tackle,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'StandingSave', 'Defensive']","[91, 142]",True,232278.0,,,,,,,,,,,,
898,898,2727202799.0,408,48,59.0,613,58.1,100.0,50,SecondHalf,Pass,Successful,"['Zone', 'ThrowIn', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 212, 36, 38, 217]",True,232278.0,75.3,85.7,,,,,,,,,,
936,936,2727204279.0,429,50,9.0,613,67.2,96.6,52,SecondHalf,Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232278.0,70.1,82.3,,,,,,,,,,
1008,1008,2727210587.0,465,55,3.0,613,57.8,92.9,57,SecondHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
1009,1009,2727210691.0,466,55,5.0,613,57.9,92.9,57,SecondHalf,OffsidePass,Successful,"['StandingSave', 'PlayerCaughtOffside', 'PassEndY', 'PassEndX', 'Zone']","[91, 217]",True,232278.0,76.1,70.2,,,,,,,,,,
1017,1017,2727211167.0,471,55,29.0,613,38.6,93.6,57,SecondHalf,Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,232278.0,28.0,75.7,,,,,,,,,,
1038,1038,2727212573.0,487,56,41.0,613,47.2,51.8,58,SecondHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
1039,1039,2727212721.0,488,56,41.0,613,47.2,51.8,58,SecondHalf,Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,46.2,16.7,,,,,,,,,,
1046,1046,2727213213.0,495,57,2.0,613,58.8,69.7,59,SecondHalf,Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,232278.0,47.4,63.7,,,,,,,,,,
